8 36
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
2 5 35 2 33 31 24 8 6 23 31 29 36 5 34 1 36 34 27 13 7 13 35 21 24 13 17 14 1 1 14 17 33 24 20 24
2 21 19 19 20 25 4 3 5 14 12 8 35 15 32 32 9 3 2 29 5 26 11 6 32 5 32 4 33 6 2 2 19 35 11 27
17 9 15 14 10 23 24 27 34 10 28 18 22 31 19 32 20 17 7 21 20 17 14 8 1 12 2 22 18 7 31 15 33 2 27 5
17 25 25 11 30 19 13 25 29 36 22 16 7 31 24 12 5 10 17 1 36 5 13 9 5 23 23 34 2 18 12 8 17 13 36 16
23 27 6 11 8 19 36 19 27 29 4 12 27 29 13 4 12 3 28 22 3 35 2 19 5 22 11 28 7 30 6 25 35 34 28 18
20 18 15 25 1 36 20 16 26 18 8 23 19 31 23 14 25 22 32 3 22 31 7 15 28 8 32 25 20 28 3 14 31 9 23 20
12 35 18 29 7 3 26 25 5 6 22 26 8 26 9 1 2 18 2 31 32 23 31 20 22 28 18 18 16 26 36 8 9 8 16 12
31 13 1 12 36 20 16 13 16 2 35 35 20 23 31 22 30 20 4 35 25 25 36 13 28 2 30 15 30 32 6 26 1 24 27 18
13 15 26 22 33 2 4 8 34 25 29 13 34 11 2 28 12 21 14 18 25 17 23 10 21 31 5 15 3 18 20 21 30 20 17 16
20 10 34 6 21 32 19 18 24 27 35 4 21 15 5 12 20 21 25 25 4 19 25 24 10 17 10 26 18 7 30 36 28 1 31 27
1 29 34 33 6 11 29 12 9 10 20 2 26 1 26 28 35 13 36 18 5 13 34 16 26 11 7 28 16 5 13 1 30 3 1 3
31 23 13 24 8 32 2 5 7 17 33 22 20 36 19 2 25 14 16 22 3 11 22 13 8 25 23 23 24 36 5 5 35 26 24 36
18 23 34 1 16 3 1 36 1 20 13 12 2 5 30 29 29 4 23 11 21 28 29 18 28 7 34 10 3 36 22 33 2 33 18 28
15 18 12 9 13 22 19 24 23 28 14 21 33 14 15 26 9 27 32 22 13 2 34 1 33 10 19 5 22 21 20 32 25 20 5 8
21 8 19 5 15 3 12 20 11 5 29 27 30 5 26 13 2 23 28 11 22 17 23 33 26 13 1 2 22 16 34 24 11 28 17 23
28 13 26 13 29 21 36 15 36 10 35 36 34 12 13 10 30 2 34 30 20 25 17 6 20 27 5 5 6 12 17 27 12 1 2 7
2 6 33 29 30 8 2 25 6 5 6 13 13 13 21 2 32 16 26 15 23 17 21 14 22 31 35 17 6 5 35 30 26 26 17 2
11 28 2 25 5 17 17 10 33 20 21 24 10 17 22 18 25 27 35 7 3 9 16 12 28 12 29 32 35 24 26 13 10 18 28 10
21 3 23 5 3 34 22 3 21 14 32 7 35 22 13 16 18 14 3 25 32 17 12 12 2 29 17 3 2 10 5 14 34 1 24 14
15 25 16 29 7 5 32 13 31 23 33 20 32 26 23 11 27 9 13 17 11 22 9 5 22 21 33 34 17 7 5 29 20 6 19 23
21 9 34 10 7 19 14 30 13 26 22 23 12 3 13 29 13 28 36 15 21 10 24 20 32 32 23 10 34 26 10 33 4 36 28 24
13 19 4 15 22 34 23 1 31 28 2 26 4 23 29 9 23 32 15 23 13 17 10 34 23 30 16 6 5 2 15 24 35 15 25 20
18 17 26 4 19 15 8 23 1 30 3 4 30 26 22 36 12 17 6 35 14 29 34 9 30 2 4 19 27 12 7 36 14 4 17 9
14 7 9 9 2 2 10 36 1 20 4 1 31 17 14 32 26 23 9 17 35 20 4 19 10 3 14 17 15 23 23 13 28 11 15 14
26 20 8 29 35 14 34 17 12 28 9 28 2 3 2 23 35 26 20 20 24 28 35 14 28 19 23 36 12 31 22 20 32 16 13 23
34 14 31 30 5 9 11 13 27 6 34 4 20 16 2 17 31 34 27 25 7 34 6 8 31 12 35 17 6 19 23 11 35 19 34 16
29 25 29 31 19 23 20 8 3 27 29 17 28 32 14 30 12 36 4 2 8 33 18 11 21 35 17 29 2 28 31 14 30 11 7 18
7 10 32 22 1 2 2 24 1 25 36 6 21 11 1 6 32 29 9 20 34 36 12 15 23 27 27 12 32 2 33 33 34 29 33 17
17 13 28 19 31 26 26 31 21 36 36 14 10 28 5 16 22 36 12 15 12 31 20 21 35 4 1 28 10 15 31 26 9 16 4 29
11 22 12 12 4 1 15 31 13 34 10 24 35 32 27 5 33 35 26 4 9 31 15 3 12 6 23 12 27 27 20 7 33 14 6 33
9 4 3 7 20 10 14 32 15 30 8 22 1 12 7 35 13 26 15 5 13 9 32 23 23 29 32 2 16 19 19 24 31 2 19 11
14 31 22 17 22 35 29 16 15 27 15 28 34 26 12 30 16 31 8 19 32 29 12 21 4 11 21 2 8 13 24 7 25 28 20 18
34 7 29 36 32 32 28 29 17 20 9 3 24 12 13 17 23 4 21 35 4 25 29 15 6 27 27 10 8 14 18 34 12 27 22 19
16 25 26 13 23 18 35 26 36 10 17 31 13 20 33 16 1 22 29 31 24 19 12 27 29 35 28 23 29 9 5 31 9 1 14 2
17 5 36 2 7 2 4 7 9 2 5 16 12 32 19 1 7 35 24 32 5 3 29 25 11 33 2 9 30 13 26 4 25 19 20 33
